School,locality1,locality2,locality3,Student Move-in date
JMU,Harrisonburgcity,RockinghamCounty,NA,8/21/2020
VA Tech,MontgomeryCounty,NA,NA,8/14/2020
W & M,Williamsburgcity,JamesCityCounty,NA,9/4/2020
UVA,Charlottesvillecity,AlbemarleCounty,NA,9/4/2020
VCU,Richmondcity,NA,NA,8/14/2020
Radford,Radfordcity,PulaskiCounty,MontgomeryCounty,8/1/2020
Liberty,Lynchburgcity,CampbellCounty,AmherstCounty,8/17/2020
Lynchburg college,Lynchburgcity,AmherstCounty,CampbellCounty,8/12/2020
Longwood college,PrinceEdwardCounty,NA,NA,8/19/2020
Washington and Lee,Lexingtoncity,RockbridgeCounty,NA,8/18/2020
